CRName  Row  Col  Date  Type  
CS 690   11   0   0.32   H   
CS 697   11   0   0.32   H   
CS 698   11   0   0.32   H   
CS 699   11   0   0.32   H   
CS 722   11   0   0.32   H   
CS 723   11   0   0.32   H   
CS 776   11   0   0.32   H   
CS 791   11   0   0.32   H   
CS 795   11   0   0.32   H   
CS 796   11   0   0.32   H   
CS 822   11   0   0.32   H   
CS 823   11   0   0.32   H   
CS 876   11   0   0.32   H   
CS 891   11   0   0.32   H   
CS 895   11   0   0.32   H   
CS 896   11   0   0.32   H   
CS 899   11   0   0.32   H   
CS 999   11   0   0.32   H   
CS 120G   12   0   0.33   H   
CS 121G   12   0   0.33   H   
CS 129   12   0   0.33   H   
CS 150   12   0   0.33   H   
CS 170   12   0   0.33   H   
CS 229   12   0   0.33   H   
CS 250   12   0   0.33   H   
CS 252   12   0   0.33   H   
CS 270   12   0   0.33   H   
CS 300T   12   0   0.33   H   
CS 312   12   0   0.33   H   
CS 330   12   0   0.33   H   
CS 334   12   0   0.33   H   
CS 350   12   0   0.33   H   
CS 355   12   0   0.33   H   
CS 361   12   0   0.33   H   
CS 367   12   0   0.33   H   
CS 368   12   0   0.33   H   
CS 381   12   0   0.33   H   
CS 382   12   0   0.33   H   
CS 390   12   0   0.33   H   
CS 395   12   0   0.33   H   
CS 402   12   0   0.33   H   
CS 410   12   0   0.33   H   
CS 411W   12   0   0.33   H   
CS 417   12   0   0.33   H   
CS 418   12   0   0.33   H   
CS 432   12   0   0.33   H   
CS 450   12   0   0.33   H   
CS 455   12   0   0.33   H   
CS 460   12   0   0.33   H   
CS 462   12   0   0.33   H   
CS 463   12   0   0.33   H   
CS 464   12   0   0.33   H   
CS 467   12   0   0.33   H   
CS 471   12   0   0.33   H   
CS 480   12   0   0.33   H   
CS 497   12   0   0.33   H   
CS 500   12   0   0.33   H   
CS 502   12   0   0.33   H   
CS 517   12   0   0.33   H   
CS 518   12   0   0.33   H   
CS 532   12   0   0.33   H   
CS 550   12   0   0.33   H   
CS 555   12   0   0.33   H   
CS 562   12   0   0.33   H   
CS 563   12   0   0.33   H   
CS 564   12   0   0.33   H   
CS 567   12   0   0.33   H   
CS 580   12   0   0.33   H   
CS 597   12   0   0.33   H   
CS 620   12   0   0.33   H   
CS 625   12   0   0.33   H   
CS 665   12   0   0.33   H   
CS 667   12   0   0.33   H   
CS 690   12   0   0.33   H   
CS 697   12   0   0.33   H   
CS 698   12   0   0.33   H   
CS 699   12   0   0.33   H   
